Model,Quadrant,Accuracy,F1_Score,True_Tumor_Count,Pred_Tumor_Count,True_NonTumor_Count,Pred_NonTumor_Count,True_Empty_Count,Pred_Empty_Count,Percent_Tumor_True,Percent_Tumor_Pred,Largest_Mass_True,Largest_Mass_Pred,RMSE_Percent_Tumor,RMSE_Largest_Mass,RMSE_Tumor_Count,Accuracy_Std,F1_Score_Std,CM_TrueEmpty_PredEmpty,CM_TrueEmpty_PredNon-Tumor,CM_TrueEmpty_PredTumor,CM_TrueNon-Tumor_PredEmpty,CM_TrueNon-Tumor_PredNon-Tumor,CM_TrueNon-Tumor_PredTumor,CM_TrueTumor_PredEmpty,CM_TrueTumor_PredNon-Tumor,CM_TrueTumor_PredTumor
InceptionV3,Q1,0.7978,0.7657,311,185,618,811,75,8,30.9761,18.4263,249,58,12.5498,191,126,,,5,70,0,3,613,2,0,128,183
InceptionV3,Q2,0.7589,0.7177,268,235,736,906,170,33,22.8279,20.017,145,84,2.8109,61,33,,,14,151,5,19,682,35,0,73,195
InceptionV3,Q3,0.7941,0.8076,1271,959,438,744,30,36,73.088,55.1466,1216,678,17.9413,538,312,,,22,8,0,12,413,13,2,323,946
InceptionV3,Q4,0.7495,0.7225,565,365,1208,1549,227,86,28.25,18.25,109,89,10,20,200,,,29,197,1,52,1131,25,5,221,339
InceptionV3,Average,0.7751,0.7534,603.75,436,750,1002.5,125.5,40.75,38.7855,27.96,429.75,227.25,10.8255,202.5,167.75,0.0212,0.0364,,,,,,,,,
VGG19,Q1,0.7779,0.755,311,223,618,765,75,16,30.9761,22.2112,249,60,8.7649,189,88,,,12,61,2,4,581,33,0,123,188
VGG19,Q2,0.73,0.7063,268,199,736,894,170,81,22.8279,16.9506,145,63,5.8773,82,69,,,33,133,4,47,659,30,1,102,165
VGG19,Q3,0.8148,0.8269,1271,994,438,702,30,43,73.088,57.1593,1216,848,15.9287,368,277,,,24,6,0,17,410,11,2,286,983
VGG19,Q4,0.738,0.7355,565,398,1208,1370,227,232,28.25,19.9,109,67,8.35,42,167,,,94,132,1,131,1031,46,7,207,351
VGG19,Average,0.7652,0.7559,603.75,453.5,750,932.75,125.5,93,38.7855,29.0553,429.75,259.5,9.7302,170.25,150.25,0.0339,0.0445,,,,,,,,,
