quadrant,box,grid_id,ternary_group
Q1,"(15169, 11896, 15393, 12120)",67_53,Non-Tumor
Q1,"(15169, 11672, 15393, 11896)",67_52,Non-Tumor
Q1,"(15169, 11448, 15393, 11672)",67_51,Non-Tumor
Q1,"(15169, 11224, 15393, 11448)",67_50,Non-Tumor
Q1,"(15169, 11000, 15393, 11224)",67_49,Non-Tumor
Q1,"(15169, 10776, 15393, 11000)",67_48,Non-Tumor
Q1,"(15169, 10552, 15393, 10776)",67_47,Non-Tumor
Q1,"(15169, 10328, 15393, 10552)",67_46,Non-Tumor
Q1,"(15169, 10104, 15393, 10328)",67_45,Non-Tumor
Q1,"(15169, 9880, 15393, 10104)",67_44,Non-Tumor
Q1,"(15169, 9656, 15393, 9880)",67_43,Empty
Q1,"(15169, 9432, 15393, 9656)",67_42,Non-Tumor
Q1,"(15169, 9208, 15393, 9432)",67_41,Non-Tumor
Q1,"(15169, 8984, 15393, 9208)",67_40,Non-Tumor
Q1,"(15169, 8760, 15393, 8984)",67_39,Non-Tumor
Q1,"(15169, 8536, 15393, 8760)",67_38,Non-Tumor
Q1,"(15169, 8312, 15393, 8536)",67_37,Empty
Q1,"(15169, 8088, 15393, 8312)",67_36,Non-Tumor
Q1,"(15169, 7864, 15393, 8088)",67_35,Non-Tumor
Q1,"(15169, 7640, 15393, 7864)",67_34,Empty
Q1,"(15169, 7416, 15393, 7640)",67_33,Non-Tumor
Q1,"(15169, 7192, 15393, 7416)",67_32,Non-Tumor
Q1,"(15169, 6968, 15393, 7192)",67_31,Non-Tumor
Q1,"(15169, 6744, 15393, 6968)",67_30,Non-Tumor
Q1,"(14945, 11896, 15169, 12120)",66_53,Non-Tumor
Q1,"(14945, 11672, 15169, 11896)",66_52,Non-Tumor
Q1,"(14945, 11448, 15169, 11672)",66_51,Non-Tumor
Q1,"(14945, 11224, 15169, 11448)",66_50,Non-Tumor
Q1,"(14945, 11000, 15169, 11224)",66_49,Non-Tumor
Q1,"(14945, 10776, 15169, 11000)",66_48,Non-Tumor
Q1,"(14945, 10552, 15169, 10776)",66_47,Non-Tumor
Q1,"(14945, 10328, 15169, 10552)",66_46,Non-Tumor
Q1,"(14945, 10104, 15169, 10328)",66_45,Non-Tumor
Q1,"(14945, 9880, 15169, 10104)",66_44,Non-Tumor
Q1,"(14945, 9656, 15169, 9880)",66_43,Non-Tumor
Q1,"(14945, 9432, 15169, 9656)",66_42,Non-Tumor
Q1,"(14945, 9208, 15169, 9432)",66_41,Non-Tumor
Q1,"(14945, 8984, 15169, 9208)",66_40,Non-Tumor
Q1,"(14945, 8760, 15169, 8984)",66_39,Non-Tumor
Q1,"(14945, 8536, 15169, 8760)",66_38,Non-Tumor
Q1,"(14945, 8312, 15169, 8536)",66_37,Non-Tumor
Q1,"(14945, 8088, 15169, 8312)",66_36,Non-Tumor
Q1,"(14945, 7864, 15169, 8088)",66_35,Non-Tumor
Q1,"(14945, 7640, 15169, 7864)",66_34,Empty
Q1,"(14945, 7416, 15169, 7640)",66_33,Empty
Q1,"(14945, 7192, 15169, 7416)",66_32,Empty
Q1,"(14945, 6968, 15169, 7192)",66_31,Non-Tumor
Q1,"(14945, 6744, 15169, 6968)",66_30,Empty
Q1,"(14721, 11896, 14945, 12120)",65_53,Non-Tumor
Q1,"(14721, 11672, 14945, 11896)",65_52,Non-Tumor
Q1,"(14721, 11448, 14945, 11672)",65_51,Non-Tumor
Q1,"(14721, 11224, 14945, 11448)",65_50,Non-Tumor
Q1,"(14721, 11000, 14945, 11224)",65_49,Non-Tumor
Q1,"(14721, 10776, 14945, 11000)",65_48,Non-Tumor
Q1,"(14721, 10552, 14945, 10776)",65_47,Non-Tumor
Q1,"(14721, 10328, 14945, 10552)",65_46,Non-Tumor
Q1,"(14721, 10104, 14945, 10328)",65_45,Non-Tumor
Q1,"(14721, 9880, 14945, 10104)",65_44,Non-Tumor
Q1,"(14721, 9656, 14945, 9880)",65_43,Empty
Q1,"(14721, 9432, 14945, 9656)",65_42,Non-Tumor
Q1,"(14721, 9208, 14945, 9432)",65_41,Non-Tumor
Q1,"(14721, 8984, 14945, 9208)",65_40,Non-Tumor
Q1,"(14721, 8760, 14945, 8984)",65_39,Non-Tumor
Q1,"(14721, 8536, 14945, 8760)",65_38,Non-Tumor
Q1,"(14721, 8312, 14945, 8536)",65_37,Non-Tumor
Q1,"(14721, 8088, 14945, 8312)",65_36,Non-Tumor
Q1,"(14721, 7864, 14945, 8088)",65_35,Empty
Q1,"(14721, 7640, 14945, 7864)",65_34,Non-Tumor
Q1,"(14721, 7416, 14945, 7640)",65_33,Non-Tumor
Q1,"(14721, 7192, 14945, 7416)",65_32,Non-Tumor
Q1,"(14721, 6968, 14945, 7192)",65_31,Empty
Q1,"(14721, 6744, 14945, 6968)",65_30,Non-Tumor
Q1,"(14497, 11896, 14721, 12120)",64_53,Non-Tumor
Q1,"(14497, 11672, 14721, 11896)",64_52,Non-Tumor
Q1,"(14497, 11448, 14721, 11672)",64_51,Non-Tumor
Q1,"(14497, 11224, 14721, 11448)",64_50,Non-Tumor
Q1,"(14497, 11000, 14721, 11224)",64_49,Non-Tumor
Q1,"(14497, 10776, 14721, 11000)",64_48,Non-Tumor
Q1,"(14497, 10552, 14721, 10776)",64_47,Non-Tumor
Q1,"(14497, 10328, 14721, 10552)",64_46,Non-Tumor
Q1,"(14497, 10104, 14721, 10328)",64_45,Non-Tumor
Q1,"(14497, 9880, 14721, 10104)",64_44,Non-Tumor
Q1,"(14497, 9656, 14721, 9880)",64_43,Non-Tumor
Q1,"(14497, 9432, 14721, 9656)",64_42,Non-Tumor
Q1,"(14497, 9208, 14721, 9432)",64_41,Non-Tumor
Q1,"(14497, 8984, 14721, 9208)",64_40,Non-Tumor
Q1,"(14497, 8760, 14721, 8984)",64_39,Non-Tumor
Q1,"(14497, 8536, 14721, 8760)",64_38,Non-Tumor
Q1,"(14497, 8312, 14721, 8536)",64_37,Non-Tumor
Q1,"(14497, 8088, 14721, 8312)",64_36,Non-Tumor
Q1,"(14497, 7864, 14721, 8088)",64_35,Non-Tumor
Q1,"(14497, 7640, 14721, 7864)",64_34,Empty
Q1,"(14497, 7416, 14721, 7640)",64_33,Non-Tumor
Q1,"(14497, 7192, 14721, 7416)",64_32,Non-Tumor
Q1,"(14497, 6968, 14721, 7192)",64_31,Non-Tumor
Q1,"(14497, 6744, 14721, 6968)",64_30,Empty
Q1,"(14273, 11896, 14497, 12120)",63_53,Non-Tumor
Q1,"(14273, 11672, 14497, 11896)",63_52,Non-Tumor
Q1,"(14273, 11448, 14497, 11672)",63_51,Non-Tumor
Q1,"(14273, 11224, 14497, 11448)",63_50,Non-Tumor
Q1,"(14273, 11000, 14497, 11224)",63_49,Non-Tumor
Q1,"(14273, 10776, 14497, 11000)",63_48,Non-Tumor
Q1,"(14273, 10552, 14497, 10776)",63_47,Non-Tumor
Q1,"(14273, 10328, 14497, 10552)",63_46,Non-Tumor
Q1,"(14273, 10104, 14497, 10328)",63_45,Non-Tumor
